主持人,3
監察人,1
張,14
院長,17
余,2
女士,2
海內外,2
全,2
國,2
父老,6
鄉親,6
晚安,1
好,5
民主進步黨,4
在,33
台灣,99
土地,4
上,8
孕育,1
成,1
來,5
跟,17
人民,13
艱辛,1
打造,3
民主,30
奇蹟,3
民進黨,10
敢,2
忘記,1
對,6
責任,3
辜負,1
付託,1
英文,2
全名,1
Democratic ,1
Progressive Party,1
縮寫,1
為,8
DPP,2
背後,1
重大,1
意義,1
Democracy,1
和平,14
Peace,1
繁榮,6
Prosperity,1
國家,31
重要,3
戰略,2
計畫,3
談,3
作主,1
今日,1
說,6
像,1
呼吸,1
空氣,1
一樣,1
自然,2
生成,1
由,1
許許多多,1
人,11
犧牲,2
奉獻,1
才,6
今天,5
成果,1
禮拜,1
剛好,1
美麗島事件,1
年，,1
不同,6
階段,4
使命,2
爭取,2
打破,1
威權,1
鞏固,1
落實,2
生活,3
現在,4
進入,2
面對,4
中國,24
打壓,4
守護,5
責無旁貸,1
義無反顧,1
今年,5
元月,1
二號,1
習近,2
平提,1
出習,1
公開,3
宣稱,2
所謂,1
九二,7
共識,8
原則,4
中華,3
共和國,2
沒有,4
國民黨,5
表述,2
中華民國,9
空間,6
只,3
路,2
走,2
一國兩制,5
謹慎,1
看待,1
香港,4
傳過來,1
訊息,1
反送,1
中,5
事件,2
等於,2
說明,1
失敗,1
導向,1
可行,1
10月份,1
美國,7
副總統,4
彭斯,1
先生,1
稱讚,1
擁抱,2
提供給,1
道路,1
眾院,1
議員,1
Ted Yoho,1
特別,4
肯定,2
總統,10
大選,3
進行,4
公民,2
投票,6
國際,10
社會,8
看,3
希望,9
泛民主,1
陣營,2
贏得,3
壓倒性,1
勝利,1
發生,2
未來,13
堅定,2
站,2
讓,25
更,5
解,1
成就,3
成為,3
世界,3
台灣人,1
熱愛,1
兩岸,6
穩定,4
發展,15
印太,3
區域,9
很,4
遺憾,1
窮兵,1
黷武,1
不僅僅,5
武力,1
威脅,1
同時,10
挖,1
邦交國,1
對面,1
滲透,1
經濟,15
東海,1
南海,1
擴軍,1
改變,3
現狀,1
亞太,1
麻煩,1
製造,4
者,1
關鍵,4
時刻,1
看到,5
以,5
西藏,1
為鑑,1
抱,1
用,7
協議,3
解決,10
問題,10
這些,3
成功,2
主權,9
侵害,3
要,4
表面,1
併吞,5
消滅,2
狀況,2
之下,6
團結,9
惡,1
鄰居,1
因應,5
訪問,1
以色列,3
總理,1
納坦雅胡,1
分享,1
經驗,3
單,1
靠,3
達到,5
少數,1
達成,1
獨立,2
自主,2
結盟,1
合作,4
蔡,4
領導,4
強化,1
防衛,1
能力,2
國艦,2
國造,2
國機,1
必要,1
軍事,1
採購,1
蔡英文,12
處理,2
態度,1
遇到,2
屈服,1
支持,15
冒進,1
撐住,1
穩住,1
局勢,2
得到,2
公認,1
裡面,2
最,6
值得,1
信任,1
夥伴,1
善用,1
下,2
島鏈,1
位置,1
發揮,1
力量,4
阻止,1
共產,1
勢力,1
擴張,1
協助,3
民主化,1
造福,2
求得,1
永久,1
除了,2
寸土不讓,1
維護,6
接受,3
之外,2
致力,1
於,2
前,1
季,1
成長率,2
躍升,1
亞洲,1
四小龍,1
首,1
整,2
居於,1
領先,1
地位,1
民間,1
投資,3
實質,1
超過,3
預期,1
情形,1
持續,6
主要,1
簽訂,1
雙邊,1
貿易,1
協定,1
做好,1
準備,1
加入,1
CPTPP,1
組織,1
企業,1
立足,1
布局,1
全球,4
感謝,1
中小企業主,1
中小企業,1
促進,1
轉型,5
產業,9
升級,1
創新,1
朝向,1
精準,1
醫療,3
精密,1
工業,2
數位,1
綠能,3
年輕人,2
創業,1
獨角獸,1
螞蟻,1
雄兵,1
朝,1
各,6
著眼於,1
長遠,1
2030年,1
可望,1
智慧,2
舖設,1
