提到,2
問題,4
覺得,1
擔任,1
總統,2
之後,1
好好,1
處理,1
事情,1
對於,5
勞基,1
例,2
休,2
很,2
事,2
前,1
溝通,2
這些,3
案子,1
由,1
立法委員,1
提出,2
經過,1
行政院,1
跨,1
部會,1
討論,1
主張,1
將來,1
異業異法,1
檢討,1
關於,1
至於,1
韓,2
市長,2
說,3
做人,1
規規矩矩,1
做,7
承諾,2
放棄,1
省長,1
過去,2
從政,1
以來,1
話,2
叫做,1
到,2
談到,1
參選,1
時機,1
比較,1
晚,1
嚴格,1
對,1
整體,1
形勢,1
了解,3
看到,1
國民黨,1
民進黨,1
候選人,1
坦白,1
講,2
讓,2
人民,1
放心,1
看,1
民調,1
非常,3
有意思,1
20%,1
人,3
怕,2
蔡,1
繼續,1
連任,1
40%,1
當選,1
宋楚瑜,1
好感,1
相信度,1
最,1
高,1
在,2
情況,1
之下,1
當仁不讓,1
把,1
來,1
國際,1
兩岸,1
內部,1
協調,1
像,1
跟,2
跨黨派,1
所有,1
不同,3
意見,1
執政,1
時候,1
政黨,1
縣市長,1
只,1
共同,2
未來,1
價值,1
守護,1
台灣,1
民主,1
謝謝,1
提醒,1
下,1
選,1
任何,1
知道,1
