主持人,1
監察人,1
親民黨,1
候選人,3
宋,1
先生,2
國民黨,2
韓,12
電視機,1
前,8
觀眾,1
朋友,2
看,2
線上,1
直播,1
全體,1
國人,1
同胞,1
午安,1
好,6
在,16
今天,1
政見會,2
想要,1
談,1
一下,1
台灣,30
經濟,22
上,6
裡,1
市長,11
提到,4
世界,8
忘記,4
那,1
提醒,1
事實,1
很,3
重要,2
國家,12
全,3
大,7
經濟體,2
貿易,5
國際,3
半導體,2
供應鍊,1
以,3
為,1
核心,2
基地,1
論壇,1
肯定,2
創新,1
王國,1
總體,1
穩定度,1
大海,2
裡面,1
乘風破浪,1
勇往直前,1
坐,1
浴缸,1
中,3
把,4
當作,1
批評,1
對,8
很多,2
統計,1
數據,1
解讀,2
令,1
人,2
不解,1
覺得,1
知,1
譬如,1
以下,2
支配,3
所得,3
比,3
差,1
最,4
低,1
時候,2
執政,3
期間,2
好轉,1
加薪,2
減稅,2
各,1
補助,1
措施,1
上升,1
從,2
另外,1
標準,1
實質,1
總薪資,1
成長,7
幅度,1
遠遠,1
超過,2
政府,3
通貨膨脹,1
因素,2
水準,1
今年,3
季,3
上市,2
公司,2
收益,1
衰退,1
錯誤,2
稅,1
淨利,1
歷史,4
高,4
前年,1
去年,1
總統,2
任內,1
說到,1
10月,1
連續,2
月,1
出口,7
負成長,2
景氣,1
黃藍燈,1
美,4
貿易戰,1
影響,2
之下,1
所有,1
受,1
頂住,1
壓力,1
四小龍,2
之中,1
表現,4
最好,1
11月,1
正成長,1
3.3%,1
相對,1
抗跌,1
台商,2
外商,1
看好,1
持續,3
加碼,1
投資,10
成長率,1
達到,1
2.99%,1
韓國,1
新加坡,1
歐盟,1
美國,3
日本,1
還要,2
充分,1
展現出來,1
韌性,3
比較,1
涉獵,1
倚重,1
國政,1
顧問團,2
當年,1
團隊,2
2016年,2
交給,1
保一,1
問題,1
接手,1
到,2
現在,2
未來,10
繼續,1
最後,1
沿用,1
舊,2
模式,2
知道,1
說,3
人民,1
發,1
財,1
談談,1
區域,3
整合,3
RCEP,2
CPTPP,4
事情,2
特別,1
中國,2
阻擾,1
參加,2
社會,2
想,1
清楚,1
接受,1
所謂,1
九二,1
共識,1
住手,1
太,1
天真,1
至於,1
尋求,1
參與,2
努力,4
停止,1
相信,1
自由化,1
程度,1
機會,1
談判,3
不斷,1
這些,2
享受,1
關稅,5
優惠,1
沒有,2
告訴,1
錯,1
主力,1
資通訊,2
產品,2
WTO,1
會員,1
簽署,5
ITA,1
協定,5
資訊,1
科技,1
相關,1
免,4
七成,1
以上,2
八成,1
作為,1
這樣,1
基本,1
認知,1
和,1
FTA,3
總值,1
六成,1
政治,1
一時,1
辦法,1
加入,1
遺憾,1
末日,1
突圍,1
才,1
關鍵,1
衝突,1
當中,2
許多,1
其他,2
看出,1
跟,3
北韓,1
相比,1
非常,1
類比,1
運氣,1
變動,1
局勢,1
抓住,1
方向,1
為了,1
讓,4
走向,1
做,2
強化,3
經貿,1
關係,2
連結,1
新南向,2
印度,1
越南,1
最近,2
新版,1
保障,1
更多,5
類似,1
眾議院,1
高達,2
眾議員,1
致函,1
代表,1
呼籲,1
啟動,3
台,2
雙邊,2
希望,1
不久,1
將來,1
建立起,1
新,2
供應鏈,2
當地,1
開始,1
生產,1
向,1
進口,1
零組件,1
帶動,1
發展,5
方面,1
推出,1
2.0,1
版,1
規劃,2
落實,5
目標,2
投資潮,1
帶來,3
兆元,1
強勁,2
動能,2
方案,1
境,1
外,1
資金,3
回來,1
明年,1
預計,2
總投資,1
破兆,1
加上,1
大廠,1
擴建,1
AIoT,2
AI,2
5G,2
建設,1
綠能,3
前瞻,1
都更,1
金融業,1
升級,1
計畫,1
爆發,1
應用,1
將,1
打造為,1
亞洲,3
高階,2
製造,1
研發,2
中心,2
產業,3
成為,2
領頭羊,1
綠色,1
放寬,1
金融,3
法規,1
開放,1
財富,1
商品,1
引來,1
人才,3
吸引,2
發展成,1
調度,1
資產,1
管理,1
成立,1
融資,2
保證,1
機制,1
解決,1
財務,1
困難,1
順利,1
完成,1
重大,1
計劃,1
對於,1
需要,1
用,1
更,3
制度,1
國內外,1
優秀,1
集結,1
促進,1
分配,1
正義,1
果實,1
全民,1
共享,1
除了,1
長照,1
幼托,1
透過,1
多元,1
照顧,1
減輕,1
生活,1
負擔,1
信心,1
鞏固,1
期待,1
選民,1
給,2
給予,1
投票,1
英德配,1
謝謝,1
