昨天,DATE
南迴公路,FAC
特偵組,ORG
英國,GPE
今天,DATE
633,CARDINAL
許志堅,PERSON
當年,DATE
5克以上,QUANTITY
這三年,DATE
1900萬,CARDINAL
民進黨團,ORG
600萬,CARDINAL
美國,GPE
台灣,GPE
台,GPE
台商,NORP
韓,PERSON
民進黨,ORG
美,NORP
下午,TIME
過去幾年,DATE
過去三年多來,DATE
五,CARDINAL
朱崇惠,PERSON
南台灣,LOC
吳,PERSON
馬王,PERSON
郭婞淳,PERSON
三年多,DATE
過去三年多,DATE
一千億,CARDINAL
台中,GPE
18歲,DATE
蔡英文,PERSON
三千億,CARDINAL
高雄市,GPE
迪士尼,ORG
馬英九,PERSON
高雄,GPE
半年,DATE
陳菊,PERSON
1/6,CARDINAL
20克以上,QUANTITY
十年,DATE
林朝卿,PERSON
第三,CARDINAL
四年,DATE
中華民國,GPE
國民黨,ORG
宋,PERSON
反滲透法,LAW
代理人法,LAW
高雄橋頭科學園區,LOC
捷運黃線,ORG
11000,CARDINAL
台南,GPE
防治局,ORG
歐,NORP
兩岸,GPE
第15,ORDINAL
第一,ORDINAL
冬天,DATE
台北市,GPE
台南科學園區,LOC
台南高雄大都會,GPE
毒品危害防治條例,LAW
四,CARDINAL
15000元,MONEY
夏天,DATE
台86線,FAC
林益世,PERSON
彰化南投,GPE
張善政,PERSON
兩兆,CARDINAL
八年,DATE
葉世文,PERSON
明年,DATE
衛武營,FAC
英國,NORP
兩年多,DATE
馬,PERSON
兩,CARDINAL
一天,DATE
中國,GPE
一天兩天,DATE
橋頭科學園區,FAC
朱立倫,PERSON
行政院,ORG
今年十一月,DATE
三年,DATE
東部,LOC
南台灣,GPE
李,PERSON
立法院長,ORG
2016年,DATE
越南,GPE
國民黨時代,DATE
12年,DATE
一,CARDINAL
APEC,ORG
22年,DATE
5克,QUANTITY
越,GPE
台灣,LOC
雲嘉嘉,GPE
三,CARDINAL
沙崙,GPE
花東鐵路,FAC
高雄海空經貿城,FAC
路竹科學園區,LOC
行政法,LAW
東南亞,LOC
第二,ORDINAL
沙崙智慧綠能科學園區,FAC
